id,category_id,name,description,price,image_url,is_available,created_at
ef9bfb35-bb7b-472b-a64d-bc681c1f0072,1b32d62d-b66b-4023-b98b-e8c07310b148,Agua de Horchata,Agua fresca de horchata con canela (1L),25.0,https://images.unsplash.com/photo-1568909344668-6f14a07b56a0?w=400,True,2026-06-17T02:13:43.041882+00:00
76909304-086b-4bb9-b21b-206d99f1deae,1b32d62d-b66b-4023-b98b-e8c07310b148,Agua de Jamaica,Agua fresca de flor de jamaica (1L),20.0,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400,True,2026-06-17T02:13:43.041882+00:00
69ab1e7d-1405-4182-9958-4b0bc7405daf,1b32d62d-b66b-4023-b98b-e8c07310b148,Café de Olla,Café tradicional con canela y piloncillo,28.0,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=400,True,2026-06-17T02:13:43.041882+00:00
7e4ce8f2-56a6-4a62-a35f-5b71809171cf,1b32d62d-b66b-4023-b98b-e8c07310b148,Limonada Natural,Limonada fresca con menta y hielo,22.0,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,True,2026-06-17T02:13:43.041882+00:00
f1ca7f6f-aa3b-4368-8595-cfc56d8e128a,1b32d62d-b66b-4023-b98b-e8c07310b148,Refresco Lata,"Coca-Cola, Pepsi o Sprite (355ml)",18.0,https://images.unsplash.com/photo-1625772452859-1c03d884dcd7?w=400,True,2026-06-17T02:13:43.041882+00:00
784e60b1-42cf-4a8b-9ea1-78acb65d42ba,8c34c28c-cf17-4175-85aa-85244e83d737,Dulce de Papaya,Papaya en almíbar con queso de bola yucateco,30.0,https://images.unsplash.com/photo-1563729784474-d77dbb933a9e?w=400,True,2026-06-17T02:13:43.041882+00:00
3b61632d-7835-4181-8fa0-9f77c86c946e,8c34c28c-cf17-4175-85aa-85244e83d737,Cheesecake de Mango,Cheesecake cremoso con cobertura de mango fresco,55.0,https://images.unsplash.com/photo-1587314168485-3236d6710814?w=400,True,2026-06-17T02:13:43.041882+00:00
2ae6910c-5f34-48f2-82a3-0b016f121c01,8c34c28c-cf17-4175-85aa-85244e83d737,Churros con Chocolate,4 churros crujientes con dip de chocolate caliente,45.0,https://images.unsplash.com/photo-1624471943889-e8f9eb0cdb3c?w=400,True,2026-06-17T02:13:43.041882+00:00
c631afb2-8772-436f-8a21-c663a1bc84f6,8c34c28c-cf17-4175-85aa-85244e83d737,Helado Artesanal,"Bola de helado artesanal: guanábana, mamey o coco",35.0,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?w=400,True,2026-06-17T02:13:43.041882+00:00
1bb6bc23-1790-4cfa-aa5c-5a200356dd5d,ca45f53b-2b23-4c38-aa7b-68d13f07927a,Ensalada César,"Lechuga romana, crutones, parmesano y aderezo césar",65.0,https://images.unsplash.com/photo-1551248429-40975aa4de74?w=400,True,2026-06-17T02:13:43.041882+00:00
30e22de8-fa44-4efc-a90e-c76c1f388408,ca45f53b-2b23-4c38-aa7b-68d13f07927a,Ensalada de Aguacate,"Mix de verdes, aguacate, tomate cherry y vinagreta de limón",70.0,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400,True,2026-06-17T02:13:43.041882+00:00
c57f1c7a-3d2f-4902-857d-aefd5a21050f,ca45f53b-2b23-4c38-aa7b-68d13f07927a,Ensalada de Pollo,Pechuga a la plancha sobre mix de lechugas con aderezo de mostaza,75.0,https://images.unsplash.com/photo-1546793665-c74683f339c1?w=400,True,2026-06-17T02:13:43.041882+00:00
